City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kavaratti,IN,80.13,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
8,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
10,Lorengau,PG,84.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Eyl,SO,81.09,overcast clouds,7.9803,49.8164,Amiin Hotel
31,Hithadhoo,MV,83.26,broken clouds,-0.6,73.0833,Scoop Guest House
35,Matara,LK,81.14,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
39,Sakakah,SA,83.77,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
49,Masuri,KR,80.29,few clouds,35.8488,128.1492,가야힐리언스 펜션
64,Baruun-Urt,MN,82.81,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
84,Cockburn Town,TC,80.01,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
87,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
89,Butaritari,KI,81.91,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
104,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
106,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
109,Namatanai,PG,82.51,light rain,-3.6667,152.4333,Seagulls Inn Namatani
116,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
133,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
154,Jieshi,CN,83.7,light rain,22.8134,115.8257,Yuehai Hotel
166,Sabya,SA,82.02,clear sky,17.1495,42.6254,Aseel Hotel Apartment
179,Manokwari,ID,83.89,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
187,Kudahuvadhoo,MV,84.0,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
195,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
201,Clemencia,CO,81.77,broken clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
207,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
213,Kavieng,PG,83.16,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
214,Darhan,MN,80.08,broken clouds,49.4867,105.9228,Buudai Hotel
218,Auki,SB,81.28,overcast clouds,-8.7676,160.7034,Auki Motel
246,Macapa,BR,80.58,clear sky,0.0389,-51.0664,Atalanta Hotel
251,Panzhihua,CN,84.83,scattered clouds,26.5851,101.7128,Electric Power Hotel
261,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
264,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
272,Sri Aman,MY,82.45,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
280,Gizo,SB,81.68,light rain,-8.103,156.8419,Imagination Island
284,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
305,Zinder,NE,80.46,clear sky,13.8072,8.9881,Hotel de Ville
311,Oyama,JP,81.59,few clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
316,Mareeba,AU,80.47,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
322,Mandalgovi,MN,81.25,overcast clouds,45.7625,106.2708,В.Ганбат
340,Muli,MV,83.84,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
359,Tecoanapa,MX,80.58,broken clouds,16.5167,-98.75,Hotel Manglares
360,Elizabeth City,US,82.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
369,Dawlatabad,AF,84.72,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
383,Krasnyy Chikoy,RU,80.55,overcast clouds,50.3643,108.7512,Persona
392,Zhanakorgan,KZ,82.71,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
393,Bandarbeyla,SO,81.91,few clouds,9.4942,50.8122,JABIR HOTEL
413,Dillon,US,82.74,few clouds,34.4166,-79.3712,Dillon Express Inn
415,Shache,CN,80.56,overcast clouds,38.4167,77.2406,Delong Hotel
423,Ponnani,IN,83.52,few clouds,10.767,75.9252,Rouba Residency
424,Suba,PH,84.0,scattered clouds,10.8438,121.0102,Jarnchi Pension House
430,Tual,ID,84.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
447,Bafq,IR,80.24,clear sky,31.6128,55.4107,Alamdar Hotel
448,Mawlaik,MM,82.63,heavy intensity rain,23.6333,94.4167,AKZ Guest House
453,Bilma,NE,83.34,clear sky,18.6853,12.9164,Expeditions Ténére voyages
464,Nizwa,OM,84.6,clear sky,22.9333,57.5333,Orient Apartments
468,Hasaki,JP,82.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
488,Dickinson,US,82.94,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
493,Bambanglipuro,ID,83.48,few clouds,-7.95,110.2833,Puri Brata
501,Samarai,PG,82.0,broken clouds,-10.6167,150.6667,Nuli Sapi
507,Sibolga,ID,84.52,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
510,Hangal,IN,81.59,scattered clouds,14.7667,75.1333,Sri Aadhi sakthi Lodge
511,Ranong,TH,80.53,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
513,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
516,Rantepao,ID,83.43,few clouds,-2.9701,119.8978,Hotel Luta Resort
525,Laguna,US,84.34,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
536,Kieta,PG,81.59,light rain,-6.2167,155.6333,Uruna Bay Retreat
567,Bireun,ID,81.64,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
569,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
571,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
573,Diphu,IN,83.89,broken clouds,25.8333,93.4333,Hotel Kamakhya
600,Sacramento,US,84.58,scattered clouds,38.4666,-121.3177,Manda’s House oly 100 sqft
601,Sabang,ID,82.53,overcast clouds,5.8933,95.3214,Hotel Citra
604,Kankon,IN,84.0,broken clouds,15.0167,74.0167,Palolem Beach Resort
608,Gushikawa,JP,80.6,heavy intensity rain,26.3544,127.8686,Kirari Guest House
615,Weligama,LK,80.94,broken clouds,5.9667,80.4167,Weligama Bay Resort
627,Xicotencatl,MX,81.54,scattered clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
632,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
663,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
664,Luganville,VU,82.63,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
665,Conakry,GN,80.73,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
671,Kulhudhuffushi,MV,82.4,overcast clouds,6.6221,73.07,Haajy Guest House 1
677,Lotofaga,WS,80.92,scattered clouds,-13.9764,-171.8578,Sataoa Beach Fales
